time_submitted,age,city,applicant_before,"if applicant before, what program",completed that program,highest education,course,degreeCategory,year_graduated,expected year graduated if still ongoing,postgrad year graduated,expected year graduated if postgrad still ongoing,postgrad degree,monthly net income,monthly gross income,employment status(Employed/Unemployed),job position,career industry,year tenure,position in company,unemployment status if unemployed,last employment(year) if unemployed,salary before being unemployed,job position before being unemployed,career industry before being unemployed,year tenure before being unemployed,position in before being unemployed,Please rate your experience in Data Science.(out of 5),Microsoft Excel,Microsoft Power BI,Tableau,Matlab,SQL,Python,R,Java,Stats,eViews,SAS,SPSS,Indicate Other Tools & Programming you know,"In one paragraph, why do you deserve the scholarship slot?"
2025-01-09 22:26:49,25,Davao,No,N/A,No,College grad,Early Childhood Education,Education,2014,N/A,N/A,N/A,MEng,0,0,Unemployed,N/A,N/A,N/A,N/A,Yes,2017,26148,Environmental health practitioner,Health,5,N/A,1,5,2,2,2,4,1,2,4,4,5,3,5,N/A,I deserve the slot because I am passionate about data science and eager to learn. The training will enhance my skills and help me advance my career.
2025-01-24 21:09:37,39,Davao,No,N/A,No,College grad,Accounting,Business,2015,N/A,N/A,N/A,MEng,0,0,Unemployed,N/A,N/A,N/A,N/A,No,2015,27367,Facilities manager,Engineering,10,N/A,4,5,3,4,5,1,4,1,1,1,2,4,2,N/A,I deserve the slot because I am passionate about data science and eager to learn. The training will enhance my skills and help me advance my career.
2025-01-24 04:15:59,26,General Santos,Yes,N/A,No,College grad,Political Science,Social Sciences,2023,N/A,N/A,N/A,MBA,21908,25194,Employed,Local government officer,Social Sciences,7,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,1,4,4,3,1,5,1,5,1,1,5,4,5,N/A,I deserve the slot because I am passionate about data science and eager to learn. The training will enhance my skills and help me advance my career.
2025-01-28 11:44:16,25,Davao,Yes,N/A,No,College grad,Electrical Engineering,Engineering,2021,N/A,N/A,N/A,MPH,0,0,Unemployed,N/A,N/A,N/A,N/A,No,2022,36676,"Development worker, community",Education,9,N/A,1,5,1,2,3,5,5,3,1,3,1,2,2,N/A,I deserve the slot because I am passionate about data science and eager to learn. The training will enhance my skills and help me advance my career.
2025-01-12 09:28:42,29,Cebu,Yes,N/A,No,College grad,Psychology,Social Sciences,2022,N/A,N/A,N/A,MEd,36213,41644,Employed,"Designer, blown glass/stained glass",Social Sciences,8,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,3,2,3,4,2,1,5,4,5,2,2,4,1,N/A,I deserve the slot because I am passionate about data science and eager to learn. The training will enhance my skills and help me advance my career.
2025-01-01 18:34:57,31,Cagayan de Oro,Yes,N/A,No,College grad,Political Science,Social Sciences,2022,N/A,N/A,N/A,MEng,20519,23596,Employed,Commercial art gallery manager,Social Sciences,2,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,5,1,3,4,4,5,3,1,1,1,3,4,1,N/A,I deserve the slot because I am passionate about data science and eager to learn. The training will enhance my skills and help me advance my career.
2025-01-22 18:14:09,28,Zamboanga,Yes,N/A,No,College grad,Marketing,Business,2021,N/A,N/A,N/A,MEng,33868,38948,Employed,"Engineer, water",Business,6,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,1,4,5,4,3,3,3,5,3,5,4,5,3,N/A,I deserve the slot because I am passionate about data science and eager to learn. The training will enhance my skills and help me advance my career.
2025-01-14 02:31:28,24,Cagayan de Oro,Yes,N/A,No,College grad,Finance,Business,2018,N/A,N/A,N/A,MEd,33891,38974,Employed,English as a foreign language teacher,Business,1,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,5,2,2,5,4,1,3,1,1,1,2,4,4,N/A,I deserve the slot because I am passionate about data science and eager to learn. The training will enhance my skills and help me advance my career.
2025-01-23 03:02:14,35,General Santos,No,N/A,No,College grad,Education,Education,2011,N/A,N/A,N/A,MEd,31375,36081,Employed,Health and safety adviser,Education,4,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,3,2,1,4,4,5,4,2,5,4,1,5,5,N/A,I deserve the slot because I am passionate about data science and eager to learn. The training will enhance my skills and help me advance my career.
2025-01-11 09:18:19,31,Cebu,Yes,N/A,No,College grad,Education,Education,2018,N/A,N/A,N/A,MPH,0,0,Unemployed,N/A,N/A,N/A,N/A,Yes,2018,39925,Chartered loss adjuster,Business,5,N/A,3,4,2,4,3,5,5,4,4,4,2,4,4,N/A,I deserve the slot because I am passionate about data science and eager to learn. The training will enhance my skills and help me advance my career.
2025-01-23 11:58:53,36,Manila,Yes,N/A,No,College grad,Pharmacy,Health,2019,N/A,N/A,N/A,Masters in Data Science,0,0,Unemployed,N/A,N/A,N/A,N/A,Yes,2016,37400,Investment analyst,IT,10,N/A,2,1,1,2,5,5,4,2,2,3,5,4,3,N/A,I deserve the slot because I am passionate about data science and eager to learn. The training will enhance my skills and help me advance my career.
2025-01-22 10:29:40,37,Baguio,No,N/A,No,College grad,Finance,Business,2014,N/A,N/A,N/A,MPH,38784,44601,Employed,Fitness centre manager,Business,7,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,4,3,2,1,4,3,3,5,3,2,5,2,3,N/A,I deserve the slot because I am passionate about data science and eager to learn. The training will enhance my skills and help me advance my career.
2025-01-02 06:43:35,33,Davao,No,N/A,No,College grad,Political Science,Social Sciences,2020,N/A,N/A,N/A,Masters in Data Science,40527,46606,Employed,Technical brewer,Social Sciences,2,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,4,4,1,4,2,5,2,5,2,2,1,1,2,N/A,I deserve the slot because I am passionate about data science and eager to learn. The training will enhance my skills and help me advance my career.
2025-01-27 04:51:02,30,Zamboanga,Yes,N/A,No,College grad,Finance,Business,2023,N/A,N/A,N/A,MEng,48400,55659,Employed,Clinical biochemist,Business,2,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,3,2,2,5,2,5,2,5,1,2,5,1,5,N/A,I deserve the slot because I am passionate about data science and eager to learn. The training will enhance my skills and help me advance my career.
2025-01-04 16:05:08,37,Iloilo,Yes,N/A,No,College grad,Political Science,Social Sciences,2010,N/A,N/A,N/A,MEd,0,0,Unemployed,N/A,N/A,N/A,N/A,Yes,2016,33799,"Journalist, broadcasting",Education,2,N/A,4,1,5,5,2,3,5,4,1,4,4,5,1,N/A,I deserve the slot because I am passionate about data science and eager to learn. The training will enhance my skills and help me advance my career.
2025-01-01 12:35:48,26,Davao,No,N/A,No,College grad,Mechanical Engineering,Engineering,2020,N/A,N/A,N/A,MPH,0,0,Unemployed,N/A,N/A,N/A,N/A,Yes,2020,33054,Advertising art director,Education,2,N/A,5,4,1,4,1,3,5,3,1,1,4,4,5,N/A,I deserve the slot because I am passionate about data science and eager to learn. The training will enhance my skills and help me advance my career.
2025-01-17 20:56:12,40,Manila,Yes,N/A,No,College grad,Data Science,IT,2017,N/A,N/A,N/A,MEng,24703,28408,Employed,Pathologist,IT,9,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,1,5,5,4,2,1,5,1,1,2,3,2,5,N/A,I deserve the slot because I am passionate about data science and eager to learn. The training will enhance my skills and help me advance my career.
2025-02-01 20:51:55,38,Iloilo,Yes,N/A,No,College grad,Medical Technology,Health,2019,N/A,N/A,N/A,Masters in Data Science,0,0,Unemployed,N/A,N/A,N/A,N/A,Yes,2021,38312,"Secretary, company",IT,10,N/A,3,2,5,2,1,4,5,5,5,4,5,5,5,N/A,I deserve the slot because I am passionate about data science and eager to learn. The training will enhance my skills and help me advance my career.
2025-01-22 21:08:36,26,Zamboanga,No,N/A,No,College grad,Information Technology,IT,2013,N/A,N/A,N/A,MEd,0,0,Unemployed,N/A,N/A,N/A,N/A,Yes,2024,21825,"Librarian, academic",Engineering,10,N/A,5,1,4,4,1,5,5,4,4,2,1,1,5,N/A,I deserve the slot because I am passionate about data science and eager to learn. The training will enhance my skills and help me advance my career.
2025-01-11 13:27:23,29,Cagayan de Oro,No,N/A,No,College grad,Medical Technology,Health,2020,N/A,N/A,N/A,MPH,22741,26152,Employed,Energy engineer,Health,4,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,2,5,3,1,4,1,1,3,4,5,1,2,5,N/A,I deserve the slot because I am passionate about data science and eager to learn. The training will enhance my skills and help me advance my career.
2025-01-02 21:21:36,38,Baguio,Yes,N/A,No,College grad,Computer Science,IT,2011,N/A,N/A,N/A,MEng,33679,38730,Employed,Chartered certified accountant,IT,4,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,5,1,1,2,4,5,2,4,2,1,5,3,5,N/A,I deserve the slot because I am passionate about data science and eager to learn. The training will enhance my skills and help me advance my career.
2025-01-12 09:34:04,34,Davao,No,N/A,No,College grad,Civil Engineering,Engineering,2014,N/A,N/A,N/A,MPH,49449,56866,Employed,Press photographer,Engineering,3,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,4,1,3,2,3,5,3,4,1,5,5,1,1,N/A,I deserve the slot because I am passionate about data science and eager to learn. The training will enhance my skills and help me advance my career.
2025-01-23 09:00:14,23,Cagayan de Oro,No,N/A,No,College grad,Teaching,Education,2011,N/A,N/A,N/A,MEd,22284,25626,Employed,Video editor,Education,3,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,3,2,1,1,3,4,5,1,2,1,1,4,3,N/A,I deserve the slot because I am passionate about data science and eager to learn. The training will enhance my skills and help me advance my career.
2025-01-04 20:25:17,37,Manila,Yes,N/A,No,College grad,Pharmacy,Health,2020,N/A,N/A,N/A,MBA,0,0,Unemployed,N/A,N/A,N/A,N/A,No,2019,20590,Furniture designer,Education,3,N/A,2,1,3,1,3,4,4,5,2,3,3,2,2,N/A,I deserve the slot because I am passionate about data science and eager to learn. The training will enhance my skills and help me advance my career.
2025-01-04 19:37:03,39,Manila,No,N/A,No,College grad,Software Engineering,IT,2015,N/A,N/A,N/A,MBA,0,0,Unemployed,N/A,N/A,N/A,N/A,Yes,2024,29080,Automotive engineer,Engineering,8,N/A,2,2,5,3,4,4,5,5,4,5,1,3,4,N/A,I deserve the slot because I am passionate about data science and eager to learn. The training will enhance my skills and help me advance my career.
2025-01-15 20:52:29,33,Iloilo,Yes,N/A,No,College grad,Nursing,Health,2024,N/A,N/A,N/A,MEd,32085,36897,Employed,Research scientist (maths),Health,10,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,1,5,2,5,1,3,3,4,2,5,4,2,2,N/A,I deserve the slot because I am passionate about data science and eager to learn. The training will enhance my skills and help me advance my career.
2025-01-11 00:49:25,36,Cagayan de Oro,Yes,N/A,No,College grad,Nursing,Health,2010,N/A,N/A,N/A,MPH,34557,39740,Employed,Armed forces training and education officer,Health,4,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,2,1,4,5,2,5,3,5,3,3,5,3,2,N/A,I deserve the slot because I am passionate about data science and eager to learn. The training will enhance my skills and help me advance my career.
2025-01-20 04:06:30,30,Iloilo,No,N/A,No,College grad,Finance,Business,2010,N/A,N/A,N/A,Masters in Data Science,40685,46787,Employed,Financial controller,Business,9,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,4,4,5,1,1,3,1,4,4,5,1,4,3,N/A,I deserve the slot because I am passionate about data science and eager to learn. The training will enhance my skills and help me advance my career.
2025-01-17 16:44:05,35,Davao,No,N/A,No,College grad,Accounting,Business,2019,N/A,N/A,N/A,MEng,0,0,Unemployed,N/A,N/A,N/A,N/A,Yes,2021,22933,Tax inspector,Social Sciences,6,N/A,4,4,4,3,5,2,2,4,1,2,1,4,3,N/A,I deserve the slot because I am passionate about data science and eager to learn. The training will enhance my skills and help me advance my career.
2025-01-18 03:45:20,23,Manila,Yes,N/A,No,College grad,Business Administration,Business,2013,N/A,N/A,N/A,MEd,45877,52758,Employed,Event organiser,Business,9,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,2,3,4,3,2,1,3,2,2,1,5,3,4,N/A,I deserve the slot because I am passionate about data science and eager to learn. The training will enhance my skills and help me advance my career.
2025-01-17 11:17:19,25,Bacolod,Yes,N/A,No,College grad,Sociology,Social Sciences,2017,N/A,N/A,N/A,Masters in Data Science,46205,53135,Employed,Medical sales representative,Social Sciences,6,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,2,2,1,4,1,1,4,3,2,4,4,2,5,N/A,I deserve the slot because I am passionate about data science and eager to learn. The training will enhance my skills and help me advance my career.
2025-01-05 15:00:59,30,Bacolod,Yes,N/A,No,College grad,Medical Technology,Health,2017,N/A,N/A,N/A,Masters in Data Science,27009,31060,Employed,"Education officer, museum",Health,5,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,3,1,1,1,2,1,2,2,3,4,1,2,3,N/A,I deserve the slot because I am passionate about data science and eager to learn. The training will enhance my skills and help me advance my career.
2025-02-01 23:23:14,23,Bacolod,No,N/A,No,College grad,Medical Technology,Health,2013,N/A,N/A,N/A,MEng,0,0,Unemployed,N/A,N/A,N/A,N/A,Yes,2024,34327,Sales promotion account executive,IT,3,N/A,2,4,5,4,5,4,4,1,3,4,4,5,1,N/A,I deserve the slot because I am passionate about data science and eager to learn. The training will enhance my skills and help me advance my career.
2025-01-26 03:11:47,24,Manila,Yes,N/A,No,College grad,Civil Engineering,Engineering,2016,N/A,N/A,N/A,MPH,27173,31248,Employed,Energy manager,Engineering,1,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,3,4,4,2,3,1,2,2,3,3,3,1,2,N/A,I deserve the slot because I am passionate about data science and eager to learn. The training will enhance my skills and help me advance my career.
2025-01-09 20:00:32,39,Baguio,No,N/A,No,College grad,Early Childhood Education,Education,2019,N/A,N/A,N/A,MEd,41269,47459,Employed,IT trainer,Education,8,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,4,1,2,1,4,2,4,4,5,3,2,3,1,N/A,I deserve the slot because I am passionate about data science and eager to learn. The training will enhance my skills and help me advance my career.
2025-01-17 19:18:11,33,Davao,No,N/A,No,College grad,Nursing,Health,2019,N/A,N/A,N/A,MEng,39681,45633,Employed,Land/geomatics surveyor,Health,5,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,2,5,5,4,5,4,1,2,1,1,1,1,3,N/A,I deserve the slot because I am passionate about data science and eager to learn. The training will enhance my skills and help me advance my career.
2025-01-24 09:22:11,34,Davao,No,N/A,No,College grad,Sociology,Social Sciences,2011,N/A,N/A,N/A,MPH,0,0,Unemployed,N/A,N/A,N/A,N/A,No,2018,30148,Ophthalmologist,Education,1,N/A,2,1,2,3,5,5,5,1,1,3,2,5,1,N/A,I deserve the slot because I am passionate about data science and eager to learn. The training will enhance my skills and help me advance my career.
2025-01-30 07:45:08,34,Cebu,Yes,N/A,No,College grad,Sociology,Social Sciences,2013,N/A,N/A,N/A,MEng,31297,35991,Employed,IT technical support officer,Social Sciences,6,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,5,1,5,1,5,2,3,5,5,3,1,5,5,N/A,I deserve the slot because I am passionate about data science and eager to learn. The training will enhance my skills and help me advance my career.
2025-01-07 18:38:03,29,Cagayan de Oro,Yes,N/A,No,College grad,Software Engineering,IT,2011,N/A,N/A,N/A,MBA,0,0,Unemployed,N/A,N/A,N/A,N/A,Yes,2017,26384,"Sound technician, broadcasting/film/video",Social Sciences,2,N/A,1,2,5,3,2,4,4,5,2,2,2,3,2,N/A,I deserve the slot because I am passionate about data science and eager to learn. The training will enhance my skills and help me advance my career.
2025-01-26 17:16:09,40,Zamboanga,No,N/A,No,College grad,Civil Engineering,Engineering,2014,N/A,N/A,N/A,MBA,40610,46701,Employed,"Designer, multimedia",Engineering,8,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,5,4,2,4,3,4,4,1,4,3,4,5,1,N/A,I deserve the slot because I am passionate about data science and eager to learn. The training will enhance my skills and help me advance my career.
2025-01-10 17:47:17,39,Cebu,No,N/A,No,College grad,Civil Engineering,Engineering,2010,N/A,N/A,N/A,Masters in Data Science,0,0,Unemployed,N/A,N/A,N/A,N/A,Yes,2023,33184,Armed forces technical officer,Business,6,N/A,1,4,3,3,2,5,5,3,5,2,3,1,3,N/A,I deserve the slot because I am passionate about data science and eager to learn. The training will enhance my skills and help me advance my career.
2025-01-25 02:56:46,36,General Santos,No,N/A,No,College grad,Software Engineering,IT,2018,N/A,N/A,N/A,MEd,48374,55630,Employed,Mental health nurse,IT,9,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,1,1,2,1,2,4,3,5,4,2,5,4,3,N/A,I deserve the slot because I am passionate about data science and eager to learn. The training will enhance my skills and help me advance my career.
2025-01-04 11:40:15,25,Manila,Yes,N/A,No,College grad,Mechanical Engineering,Engineering,2012,N/A,N/A,N/A,MEng,0,0,Unemployed,N/A,N/A,N/A,N/A,No,2022,36326,"Civil engineer, consulting",Business,10,N/A,5,4,4,1,5,2,5,5,4,4,4,2,3,N/A,I deserve the slot because I am passionate about data science and eager to learn. The training will enhance my skills and help me advance my career.
2025-01-25 19:13:20,39,Bacolod,Yes,N/A,No,College grad,Psychology,Social Sciences,2012,N/A,N/A,N/A,MBA,47626,54769,Employed,Learning disability nurse,Social Sciences,4,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,1,3,5,4,5,5,5,4,1,5,1,2,1,N/A,I deserve the slot because I am passionate about data science and eager to learn. The training will enhance my skills and help me advance my career.
2025-01-31 10:33:43,28,General Santos,No,N/A,No,College grad,Electrical Engineering,Engineering,2010,N/A,N/A,N/A,MBA,0,0,Unemployed,N/A,N/A,N/A,N/A,No,2016,33883,Equities trader,Business,4,N/A,5,4,3,4,1,2,4,1,5,2,1,1,2,N/A,I deserve the slot because I am passionate about data science and eager to learn. The training will enhance my skills and help me advance my career.
2025-01-30 20:55:37,32,Davao,No,N/A,No,College grad,Pharmacy,Health,2012,N/A,N/A,N/A,Masters in Data Science,0,0,Unemployed,N/A,N/A,N/A,N/A,Yes,2024,36040,Lexicographer,Business,1,N/A,5,1,3,5,2,2,1,5,5,5,1,2,3,N/A,I deserve the slot because I am passionate about data science and eager to learn. The training will enhance my skills and help me advance my career.
2025-01-17 09:41:30,36,Zamboanga,No,N/A,No,College grad,Marketing,Business,2021,N/A,N/A,N/A,MPH,0,0,Unemployed,N/A,N/A,N/A,N/A,Yes,2018,32657,Conference centre manager,Social Sciences,7,N/A,3,2,1,4,4,1,2,3,2,1,2,2,4,N/A,I deserve the slot because I am passionate about data science and eager to learn. The training will enhance my skills and help me advance my career.
2025-02-01 20:44:00,39,Davao,Yes,N/A,No,College grad,Pharmacy,Health,2016,N/A,N/A,N/A,MPH,0,0,Unemployed,N/A,N/A,N/A,N/A,No,2022,24840,Customer service manager,IT,4,N/A,4,1,1,5,4,3,5,3,3,1,1,2,4,N/A,I deserve the slot because I am passionate about data science and eager to learn. The training will enhance my skills and help me advance my career.
2025-01-19 11:12:19,30,General Santos,No,N/A,No,College grad,Medical Technology,Health,2014,N/A,N/A,N/A,MEd,0,0,Unemployed,N/A,N/A,N/A,N/A,Yes,2015,31962,Ergonomist,Business,9,N/A,4,1,2,2,3,3,4,4,2,1,1,5,4,N/A,I deserve the slot because I am passionate about data science and eager to learn. The training will enhance my skills and help me advance my career.
2025-01-07 22:10:48,32,Bacolod,Yes,N/A,No,College grad,Mechanical Engineering,Engineering,2012,N/A,N/A,N/A,MEng,0,0,Unemployed,N/A,N/A,N/A,N/A,No,2024,33414,Leisure centre manager,Social Sciences,10,N/A,5,4,5,4,2,2,5,5,1,5,3,4,2,N/A,I deserve the slot because I am passionate about data science and eager to learn. The training will enhance my skills and help me advance my career.
2025-01-02 15:28:10,28,General Santos,No,N/A,No,College grad,Nursing,Health,2023,N/A,N/A,N/A,MEng,48331,55580,Employed,Curator,Health,1,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,5,2,5,1,3,5,3,5,3,5,3,5,4,N/A,I deserve the slot because I am passionate about data science and eager to learn. The training will enhance my skills and help me advance my career.
2025-01-10 15:19:04,38,Iloilo,No,N/A,No,College grad,Sociology,Social Sciences,2015,N/A,N/A,N/A,MPH,48653,55950,Employed,Ophthalmologist,Social Sciences,4,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,1,3,5,2,4,2,1,1,2,4,3,1,5,N/A,I deserve the slot because I am passionate about data science and eager to learn. The training will enhance my skills and help me advance my career.
2025-01-21 12:07:07,23,Davao,Yes,N/A,No,College grad,Early Childhood Education,Education,2017,N/A,N/A,N/A,MBA,0,0,Unemployed,N/A,N/A,N/A,N/A,No,2015,24302,Careers adviser,Social Sciences,1,N/A,4,5,5,1,1,4,5,1,2,2,3,5,5,N/A,I deserve the slot because I am passionate about data science and eager to learn. The training will enhance my skills and help me advance my career.
2025-01-27 19:47:57,33,Iloilo,Yes,N/A,No,College grad,Civil Engineering,Engineering,2022,N/A,N/A,N/A,MPH,42790,49208,Employed,Agricultural consultant,Engineering,6,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,2,3,1,3,1,2,4,3,3,3,3,4,5,N/A,I deserve the slot because I am passionate about data science and eager to learn. The training will enhance my skills and help me advance my career.
2025-01-13 00:27:06,23,Iloilo,No,N/A,No,College grad,Early Childhood Education,Education,2023,N/A,N/A,N/A,Masters in Data Science,0,0,Unemployed,N/A,N/A,N/A,N/A,Yes,2018,33615,Astronomer,Health,10,N/A,5,3,4,4,5,1,4,3,3,5,1,1,5,N/A,I deserve the slot because I am passionate about data science and eager to learn. The training will enhance my skills and help me advance my career.
2025-01-12 03:26:08,35,Cagayan de Oro,No,N/A,No,College grad,Early Childhood Education,Education,2021,N/A,N/A,N/A,MPH,31577,36313,Employed,"Scientist, research (life sciences)",Education,9,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,1,2,3,2,3,2,5,5,2,1,4,1,4,N/A,I deserve the slot because I am passionate about data science and eager to learn. The training will enhance my skills and help me advance my career.
2025-01-29 21:37:26,39,Iloilo,No,N/A,No,College grad,Marketing,Business,2012,N/A,N/A,N/A,Masters in Data Science,0,0,Unemployed,N/A,N/A,N/A,N/A,Yes,2022,26162,Midwife,Health,10,N/A,4,4,2,5,1,1,4,1,5,2,5,4,3,N/A,I deserve the slot because I am passionate about data science and eager to learn. The training will enhance my skills and help me advance my career.
