time_submitted,age,city,applicant_before,"if applicant before, what program",completed that program,highest education,course,degreeCategory,year_graduated,expected year graduated if still ongoing,postgrad year graduated,expected year graduated if postgrad still ongoing,postgrad degree,monthly net income,monthly gross income,employment status(Employed/Unemployed),job position,career industry,year tenure,position in company,unemployment status if unemployed,last employment(year) if unemployed,salary before being unemployed,job position before being unemployed,career industry before being unemployed,year tenure before being unemployed,Microsoft Excel,Microsoft Power BI,Tableau,Matlab,SQL,Python,R,Java,Stats,eViews,SAS,SPSS,Indicate Other Tools & Programming you know,"In one paragraph, why do you deserve the scholarship slot?"
11/02/2022 10:15,40,Cagayan de Oro,No,,No,Postgrad,Civil Engineering,Engineering,2016.0,,,2025.0,Masters in Data Science,,,Unemployed,,,3,,,,,,,,5,5,4,3,5,4,5,3,1,3,2,3,"eViews, Microsoft Excel, Tableau","Coming from a financially challenged background, I see this as a great opportunity to grow professionally and help others in the future."
03/25/2020 18:38,35,Cagayan de Oro,No,,No,College grad,Psychology,Social Sciences,2020.0,,,,,,,Unemployed,,,0,,,,,,,,4,1,3,3,1,4,4,4,2,4,5,4,,"Coming from a financially challenged background, I see this as a great opportunity to grow professionally and help others in the future."
03/02/2019 13:33,27,Cebu,No,,No,College grad,Pharmacy,Health Sciences,2014.0,,,,,,,Unemployed,,,5,,,,,,,,1,2,2,5,4,2,4,2,5,2,3,2,Python,"This training is a stepping stone for me to transition into data analysis, a field I have always been interested in."
07/16/2020 11:42,31,Davao,No,,No,Postgrad,Business Administration,Business,2016.0,,,2027.0,Masters in Data Science,48607.0,43607.0,Employed,Software Developer,Engineering,5,,,,,,,,2,3,3,3,5,2,3,1,5,5,4,1,,"Coming from a financially challenged background, I see this as a great opportunity to grow professionally and help others in the future."
09/20/2022 01:05,25,Iloilo,No,,No,College grad,Business Administration,Business,2016.0,,,,,,,Unemployed,,,4,,,,,,,,4,4,5,1,5,2,2,4,1,4,5,2,,"With this opportunity, I can enhance my skills and use data-driven decision-making to help organizations grow."
03/22/2018 02:51,37,Quezon City,No,,No,College grad,Software Engineering,IT,2015.0,,,,,,,Unemployed,,,2,,,,,,,,3,2,5,3,4,4,1,4,3,4,1,5,"Tableau, SPSS, Tableau","This training is a stepping stone for me to transition into data analysis, a field I have always been interested in."
06/11/2023 07:11,27,Quezon City,No,,No,College grad,Medical Technology,Health Sciences,2012.0,,,,,,,Unemployed,,,2,,,,,,,,5,1,3,2,1,5,5,1,1,4,3,5,,"Coming from a financially challenged background, I see this as a great opportunity to grow professionally and help others in the future."
09/28/2024 19:04,32,Makati,No,,No,Postgrad,Nursing,Health Sciences,2016.0,,,2025.0,Masters in Data Science,,,Unemployed,,,3,,,,,,,,4,4,5,5,4,2,2,5,4,1,4,2,,"This training is a stepping stone for me to transition into data analysis, a field I have always been interested in."
01/23/2023 06:01,35,Makati,No,,No,College grad,Computer Science,IT,2018.0,,,,,,,Unemployed,,,1,,,,,,,,5,3,4,4,5,2,4,4,1,2,2,3,,"With this opportunity, I can enhance my skills and use data-driven decision-making to help organizations grow."
02/17/2023 11:16,32,Iloilo,No,,No,Postgrad,Early Childhood Education,Education,2016.0,,,2026.0,Masters in Data Science,,,Unemployed,,,5,,,,,,,,5,3,3,4,1,2,2,5,3,2,3,2,"SAS, Microsoft Excel","With this opportunity, I can enhance my skills and use data-driven decision-making to help organizations grow."
09/07/2019 23:29,35,Cagayan de Oro,No,,No,College grad,Civil Engineering,Engineering,2013.0,,,,,,,Unemployed,,,5,,,,,,,,3,1,1,1,3,2,2,5,2,3,2,2,,"Coming from a financially challenged background, I see this as a great opportunity to grow professionally and help others in the future."
08/15/2017 03:48,21,Davao,No,,No,Postgrad,Political Science,Social Sciences,2016.0,,,2026.0,Masters in Data Science,,,Unemployed,,,3,,,,,,,,5,2,2,3,1,5,5,5,1,5,3,2,"Stats, Java, Matlab",I am passionate about data science and eager to learn. This scholarship will allow me to advance my career and contribute to my field.
10/12/2021 11:17,26,Cebu,No,,No,Postgrad,Accounting,Business,2016.0,,,2026.0,Masters in Data Science,,,Unemployed,,,0,,,,,,,,2,5,4,2,3,2,5,3,4,1,3,5,,I am passionate about data science and eager to learn. This scholarship will allow me to advance my career and contribute to my field.
10/05/2024 23:08,29,Manila,No,,No,College grad,Sociology,Social Sciences,2012.0,,,,,,,Unemployed,,,5,,,,,,,,3,5,4,3,4,3,5,2,2,2,4,1,R,"I believe in continuous learning, and this program will provide me with the necessary knowledge to improve my career prospects."
03/18/2018 22:49,20,Cagayan de Oro,No,,No,College grad,Pharmacy,Health Sciences,2012.0,,,,,46020.0,41020.0,Employed,Marketing Analyst,Business,0,,,,,,,,2,2,5,1,1,2,2,4,2,5,1,3,,"This training is a stepping stone for me to transition into data analysis, a field I have always been interested in."
09/19/2018 06:55,22,Quezon City,No,,No,College grad,Mechanical Engineering,Engineering,2019.0,,,,,,,Unemployed,,,1,,,,,,,,5,1,3,3,1,2,1,5,1,4,2,1,,"With this opportunity, I can enhance my skills and use data-driven decision-making to help organizations grow."
05/29/2017 23:12,36,Quezon City,No,,No,Postgrad,Psychology,Social Sciences,2016.0,,,2024.0,Masters in Data Science,32600.0,27600.0,Employed,Accountant,Social Sciences,5,,,,,,,,2,3,4,1,1,4,1,3,3,4,2,5,SAS,"With this opportunity, I can enhance my skills and use data-driven decision-making to help organizations grow."
04/14/2024 11:16,36,Baguio,No,,No,College grad,Education,Education,2012.0,,,,,,,Unemployed,,,2,,,,,,,,3,5,1,2,3,1,3,3,2,3,3,3,,"Coming from a financially challenged background, I see this as a great opportunity to grow professionally and help others in the future."
11/20/2024 23:23,22,Baguio,No,,No,College grad,Software Engineering,IT,2017.0,,,,,40558.0,35558.0,Employed,Engineer,Education,4,,,,,,,,4,1,1,3,2,4,3,1,2,4,3,4,,"I believe in continuous learning, and this program will provide me with the necessary knowledge to improve my career prospects."
07/17/2019 05:51,23,Cebu,No,,No,College grad,Accounting,Business,2023.0,,,,,,,Unemployed,,,5,,,,,,,,5,4,4,5,5,2,4,3,4,4,2,4,,"This training is a stepping stone for me to transition into data analysis, a field I have always been interested in."
09/18/2018 11:01,37,Bacolod,No,,No,College grad,Civil Engineering,Engineering,2013.0,,,,,29449.0,24449.0,Employed,Marketing Analyst,Health Sciences,0,,,,,,,,5,4,2,5,5,1,3,4,1,1,2,1,"SQL, Tableau, Python","I believe in continuous learning, and this program will provide me with the necessary knowledge to improve my career prospects."
04/17/2021 21:29,38,Cebu,No,,No,Postgrad,Software Engineering,IT,2016.0,,,2024.0,Masters in Data Science,35535.0,30535.0,Employed,Nurse,Engineering,2,,,,,,,,1,1,3,4,2,2,5,1,2,1,4,1,,"With this opportunity, I can enhance my skills and use data-driven decision-making to help organizations grow."
08/03/2020 12:01,33,Baguio,No,,No,College grad,Psychology,Social Sciences,2020.0,,,,,44900.0,39900.0,Employed,Engineer,IT,4,,,,,,,,4,5,4,4,5,2,4,4,1,3,4,5,,I am passionate about data science and eager to learn. This scholarship will allow me to advance my career and contribute to my field.
11/11/2021 16:19,30,Makati,No,,No,College grad,Mathematics Education,Education,2018.0,,,,,46240.0,41240.0,Employed,Data Analyst,Social Sciences,2,,,,,,,,2,5,4,2,1,2,2,4,2,1,5,3,Microsoft Excel,"This training is a stepping stone for me to transition into data analysis, a field I have always been interested in."
04/28/2020 00:12,40,Iloilo,No,,No,College grad,Medical Technology,Health Sciences,2014.0,,,,,46987.0,41987.0,Employed,Marketing Analyst,Engineering,3,,,,,,,,1,4,3,4,2,4,3,1,4,1,2,2,"SQL, R, SQL","This training is a stepping stone for me to transition into data analysis, a field I have always been interested in."
06/22/2024 23:28,22,Davao,No,,No,College grad,Information Technology,IT,2010.0,,,,,,,Unemployed,,,4,,,,,,,,4,5,3,1,2,1,5,2,1,5,3,4,Microsoft Excel,I am passionate about data science and eager to learn. This scholarship will allow me to advance my career and contribute to my field.
02/14/2019 05:33,34,Makati,No,,No,College grad,Information Technology,IT,2018.0,,,,,30837.0,25837.0,Employed,Teacher,Engineering,4,,,,,,,,2,5,5,5,2,5,3,5,3,2,5,2,,"Coming from a financially challenged background, I see this as a great opportunity to grow professionally and help others in the future."
03/30/2022 00:51,28,Manila,No,,No,Postgrad,Software Engineering,IT,2016.0,,,2025.0,Masters in Data Science,39778.0,34778.0,Employed,Accountant,Health Sciences,5,,,,,,,,5,1,5,2,4,1,2,5,1,3,3,1,,"This training is a stepping stone for me to transition into data analysis, a field I have always been interested in."
11/08/2022 04:05,37,Davao,No,,No,Postgrad,Pharmacy,Health Sciences,2016.0,,,2026.0,Masters in Data Science,,,Unemployed,,,5,,,,,,,,1,4,3,3,3,5,5,4,2,1,1,2,Python,"This training is a stepping stone for me to transition into data analysis, a field I have always been interested in."
11/15/2022 22:06,38,Iloilo,No,,No,Postgrad,Pharmacy,Health Sciences,2016.0,,,2026.0,Masters in Data Science,,,Unemployed,,,2,,,,,,,,1,4,5,1,1,4,4,2,1,5,5,5,,"Coming from a financially challenged background, I see this as a great opportunity to grow professionally and help others in the future."
11/12/2021 04:39,37,Iloilo,No,,No,Postgrad,Political Science,Social Sciences,2016.0,,,2027.0,Masters in Data Science,29864.0,24864.0,Employed,Marketing Analyst,Social Sciences,5,,,,,,,,1,1,4,5,1,2,5,4,1,3,1,4,,I am passionate about data science and eager to learn. This scholarship will allow me to advance my career and contribute to my field.
08/19/2019 10:52,27,Iloilo,No,,No,College grad,Accounting,Business,2015.0,,,,,,,Unemployed,,,4,,,,,,,,1,4,1,3,4,4,1,1,5,3,4,2,"SQL, Microsoft Excel","This training is a stepping stone for me to transition into data analysis, a field I have always been interested in."
03/20/2023 02:37,33,Quezon City,No,,No,College grad,Medical Technology,Health Sciences,2016.0,,,,,49039.0,44039.0,Employed,Accountant,IT,3,,,,,,,,1,5,3,1,5,2,5,4,1,3,5,1,Java,"I believe in continuous learning, and this program will provide me with the necessary knowledge to improve my career prospects."
06/11/2017 05:36,40,Manila,No,,No,College grad,Information Technology,IT,2014.0,,,,,31474.0,26474.0,Employed,Marketing Analyst,Business,5,,,,,,,,4,2,4,1,3,5,2,4,5,5,2,4,,"With this opportunity, I can enhance my skills and use data-driven decision-making to help organizations grow."
02/23/2017 20:05,29,Baguio,No,,No,College grad,Marketing,Business,2021.0,,,,,,,Unemployed,,,0,,,,,,,,2,3,2,5,1,2,2,4,3,5,2,5,"Python, Matlab, eViews","With this opportunity, I can enhance my skills and use data-driven decision-making to help organizations grow."
08/30/2018 09:28,37,Cebu,No,,No,College grad,Electrical Engineering,Engineering,2019.0,,,,,29673.0,24673.0,Employed,Data Analyst,IT,2,,,,,,,,1,4,4,5,4,1,2,5,4,3,3,2,"SAS, Microsoft Power BI, R","Coming from a financially challenged background, I see this as a great opportunity to grow professionally and help others in the future."
08/30/2018 02:25,37,Bacolod,No,,No,College grad,Software Engineering,IT,2012.0,,,,,,,Unemployed,,,1,,,,,,,,5,2,5,4,5,1,4,3,5,4,2,4,,"This training is a stepping stone for me to transition into data analysis, a field I have always been interested in."
04/20/2023 23:51,32,Davao,No,,No,College grad,Accounting,Business,2012.0,,,,,,,Unemployed,,,1,,,,,,,,4,5,5,3,1,4,5,5,1,3,2,2,,I am passionate about data science and eager to learn. This scholarship will allow me to advance my career and contribute to my field.
01/13/2022 05:15,39,Makati,No,,No,College grad,Business Administration,Business,2017.0,,,,,,,Unemployed,,,0,,,,,,,,5,4,4,1,2,4,1,5,3,2,3,1,,"I believe in continuous learning, and this program will provide me with the necessary knowledge to improve my career prospects."
09/18/2022 14:24,21,Bacolod,No,,No,College grad,Electrical Engineering,Engineering,2017.0,,,,,46508.0,41508.0,Employed,Nurse,IT,1,,,,,,,,4,1,5,5,4,4,4,5,5,5,5,2,,"I believe in continuous learning, and this program will provide me with the necessary knowledge to improve my career prospects."
03/16/2017 20:27,36,Cebu,No,,No,College grad,Business Administration,Business,2012.0,,,,,28952.0,23952.0,Employed,Nurse,Business,2,,,,,,,,3,1,4,1,3,3,3,1,3,1,3,3,"SQL, SPSS, SQL","Coming from a financially challenged background, I see this as a great opportunity to grow professionally and help others in the future."
07/11/2022 21:22,33,Makati,No,,No,College grad,Political Science,Social Sciences,2013.0,,,,,,,Unemployed,,,4,,,,,,,,3,1,1,1,4,2,5,2,3,1,2,1,,"I believe in continuous learning, and this program will provide me with the necessary knowledge to improve my career prospects."
12/22/2020 21:52,37,Zamboanga,No,,No,College grad,Marketing,Business,2019.0,,,,,38663.0,33663.0,Employed,Marketing Analyst,Social Sciences,1,,,,,,,,3,3,2,1,5,5,2,4,4,3,5,1,,"Coming from a financially challenged background, I see this as a great opportunity to grow professionally and help others in the future."
04/29/2020 18:25,33,Davao,No,,No,College grad,Civil Engineering,Engineering,2010.0,,,,,25934.0,20934.0,Employed,Accountant,IT,0,,,,,,,,4,3,3,1,5,3,4,2,4,1,2,4,,"I believe in continuous learning, and this program will provide me with the necessary knowledge to improve my career prospects."
07/30/2017 11:40,29,Baguio,No,,No,College grad,Psychology,Social Sciences,2011.0,,,,,27681.0,22681.0,Employed,Marketing Analyst,IT,4,,,,,,,,1,4,5,4,1,2,3,3,4,5,2,1,,"This training is a stepping stone for me to transition into data analysis, a field I have always been interested in."
09/23/2017 04:58,39,Cebu,No,,No,Postgrad,Marketing,Business,2016.0,,,2027.0,Masters in Data Science,,,Unemployed,,,1,,,,,,,,1,4,2,2,4,3,3,5,2,5,5,5,R,I am passionate about data science and eager to learn. This scholarship will allow me to advance my career and contribute to my field.
12/06/2019 18:03,37,Cebu,No,,No,College grad,Medical Technology,Health Sciences,2022.0,,,,,31948.0,26948.0,Employed,Nurse,Social Sciences,2,,,,,,,,2,3,1,3,3,1,2,4,3,2,4,4,,"Coming from a financially challenged background, I see this as a great opportunity to grow professionally and help others in the future."
01/10/2020 14:29,29,Manila,No,,No,College grad,Political Science,Social Sciences,2010.0,,,,,42751.0,37751.0,Employed,Data Analyst,Engineering,4,,,,,,,,2,5,5,4,4,2,4,2,3,4,5,3,SQL,"I believe in continuous learning, and this program will provide me with the necessary knowledge to improve my career prospects."
08/04/2018 13:39,35,Baguio,No,,No,College grad,Psychology,Social Sciences,2020.0,,,,,,,Unemployed,,,0,,,,,,,,4,5,3,1,3,2,4,5,4,1,3,5,SPSS,I am passionate about data science and eager to learn. This scholarship will allow me to advance my career and contribute to my field.
09/20/2021 17:53,38,Baguio,No,,No,Postgrad,Psychology,Social Sciences,2016.0,,,2024.0,Masters in Data Science,25280.0,20280.0,Employed,Nurse,Social Sciences,3,,,,,,,,1,4,3,2,4,4,4,1,5,1,2,2,"Python, SAS, Matlab",I am passionate about data science and eager to learn. This scholarship will allow me to advance my career and contribute to my field.
08/22/2020 07:46,20,Manila,No,,No,College grad,Marketing,Business,2023.0,,,,,47655.0,42655.0,Employed,Marketing Analyst,Education,3,,,,,,,,1,2,3,2,3,4,5,1,4,5,3,2,Microsoft Excel,"This training is a stepping stone for me to transition into data analysis, a field I have always been interested in."
08/14/2020 01:49,24,Quezon City,No,,No,College grad,Accounting,Business,2013.0,,,,,32776.0,27776.0,Employed,Nurse,IT,4,,,,,,,,2,5,4,3,2,5,1,4,2,1,1,2,R,"This training is a stepping stone for me to transition into data analysis, a field I have always been interested in."
09/20/2020 08:40,20,Bacolod,No,,No,Postgrad,Mathematics Education,Education,2016.0,,,2025.0,Masters in Data Science,,,Unemployed,,,0,,,,,,,,3,2,3,2,4,5,4,1,2,2,5,4,,"Coming from a financially challenged background, I see this as a great opportunity to grow professionally and help others in the future."
07/30/2020 11:40,29,Davao,No,,No,College grad,Software Engineering,IT,2010.0,,,,,27949.0,22949.0,Employed,Accountant,IT,5,,,,,,,,2,2,2,5,4,4,2,5,4,1,5,2,,"With this opportunity, I can enhance my skills and use data-driven decision-making to help organizations grow."
06/01/2024 14:54,34,Quezon City,No,,No,College grad,Accounting,Business,2015.0,,,,,,,Unemployed,,,4,,,,,,,,1,4,4,4,4,3,3,1,3,4,5,2,"Microsoft Excel, Stats",I am passionate about data science and eager to learn. This scholarship will allow me to advance my career and contribute to my field.
02/08/2019 09:12,35,Davao,No,,No,College grad,Psychology,Social Sciences,2014.0,,,,,,,Unemployed,,,4,,,,,,,,2,1,5,2,4,2,5,3,1,3,4,2,"Python, R","With this opportunity, I can enhance my skills and use data-driven decision-making to help organizations grow."
07/12/2023 17:30,32,Baguio,No,,No,Postgrad,Computer Science,IT,2016.0,,,2025.0,Masters in Data Science,30923.0,25923.0,Employed,Software Developer,Education,4,,,,,,,,4,2,1,2,2,2,2,2,5,2,3,5,"eViews, Tableau, SPSS","This training is a stepping stone for me to transition into data analysis, a field I have always been interested in."
09/24/2023 18:01,20,Makati,No,,No,College grad,Information Technology,IT,2020.0,,,,,,,Unemployed,,,2,,,,,,,,5,5,3,5,3,5,4,3,5,1,1,5,,"This training is a stepping stone for me to transition into data analysis, a field I have always been interested in."
08/26/2018 08:29,31,Baguio,No,,No,College grad,Information Technology,IT,2017.0,,,,,48379.0,43379.0,Employed,Accountant,Education,4,,,,,,,,3,2,4,3,3,1,1,2,4,5,3,1,,"This training is a stepping stone for me to transition into data analysis, a field I have always been interested in."
05/11/2024 22:19,27,Quezon City,No,,No,College grad,Information Technology,IT,2015.0,,,,,49865.0,44865.0,Employed,Data Analyst,Business,2,,,,,,,,3,3,1,4,2,3,5,1,1,2,3,3,,"With this opportunity, I can enhance my skills and use data-driven decision-making to help organizations grow."
11/06/2022 01:35,37,Makati,No,,No,College grad,Education,Education,2019.0,,,,,,,Unemployed,,,1,,,,,,,,1,2,3,4,2,4,4,1,4,5,5,5,SPSS,"Coming from a financially challenged background, I see this as a great opportunity to grow professionally and help others in the future."
08/04/2020 06:19,20,Cagayan de Oro,No,,No,College grad,Education,Education,2010.0,,,,,,,Unemployed,,,0,,,,,,,,5,5,3,1,3,5,5,4,2,4,2,4,"R, SPSS, Stats","This training is a stepping stone for me to transition into data analysis, a field I have always been interested in."
10/02/2019 03:17,38,Manila,No,,No,Postgrad,Nursing,Health Sciences,2016.0,,,2027.0,Masters in Data Science,,,Unemployed,,,5,,,,,,,,2,4,2,2,1,3,3,5,4,1,5,3,,"With this opportunity, I can enhance my skills and use data-driven decision-making to help organizations grow."
06/07/2019 11:44,36,Baguio,No,,No,College grad,Information Technology,IT,2019.0,,,,,,,Unemployed,,,5,,,,,,,,5,1,2,1,5,4,4,2,4,5,4,2,,"I believe in continuous learning, and this program will provide me with the necessary knowledge to improve my career prospects."
08/18/2019 13:55,39,Manila,No,,No,Postgrad,Software Engineering,IT,2016.0,,,2026.0,Masters in Data Science,26843.0,21843.0,Employed,Accountant,Social Sciences,0,,,,,,,,3,1,3,4,1,2,3,3,2,4,1,5,,"Coming from a financially challenged background, I see this as a great opportunity to grow professionally and help others in the future."
